Wall time,Step,Value
1549740678.2246451,1313331,60.0
1549740685.282238,1315002,48.0
1549740688.435966,1315759,55.0
1549740691.097715,1316399,53.0
1549740695.678134,1317495,47.0
1549740700.020323,1318531,38.0
1549740703.7536461,1319404,100.0
1549740704.520996,1319588,73.0
1549740710.380728,1320995,91.0
1549740715.574774,1322234,65.0
1549740737.558722,1327486,43.0
1549740747.054063,1329755,55.0
1549740749.548616,1330345,50.0
1549740751.05904,1330705,82.0
1549740756.9732502,1332112,54.0
1549740757.272025,1332184,72.0
1549740759.4014552,1332693,90.0
1549740767.476875,1334614,105.0
1549740772.476078,1335804,48.0
1549740775.1529,1336441,86.0
1549740778.5021791,1337240,34.0
1549740779.239104,1337416,34.0
1549740791.963927,1340440,51.0
1549740794.521343,1341045,86.0
1549740796.487496,1341514,46.0
1549740797.3127801,1341711,41.0
1549740798.725364,1342043,84.0
1549740803.0179808,1343070,48.0
1549740807.691096,1344184,72.0
1549740810.096413,1344753,89.0
1549740842.6874602,1352594,34.0
1549740872.651053,1359840,47.0
1549740882.017406,1362112,34.0
1549740882.873194,1362318,106.0
1549740883.218422,1362396,78.0
1549740885.17964,1362865,50.0
1549740888.764375,1363722,37.0
1549740899.689606,1366368,49.0
1549740916.400264,1370392,43.0
1549740918.518093,1370898,30.0
1549740932.093376,1374144,45.0
1549740945.0050628,1377211,49.0
1549740951.860747,1378857,45.0
1549740952.827405,1379088,54.0
1549740957.7250009,1380262,52.0
1549740969.582987,1383096,42.0
1549740970.52082,1383321,50.0
1549740979.560977,1385487,103.0
1549740993.691734,1388874,109.0
1549740997.271573,1389725,29.0
1549741003.763093,1391266,56.0
